Sales Person,Country,Product,Date,Amount,Boxes Shipped
Oby Sorrel,USA,Baker's Choco Chips,2023-08-12,9154,123
Madelene Upcott,New Zealand,Peanut Butter Cubes,2023-01-28,5361,340
Kelci Walkden,Australia,Orange Choco,2023-04-29,11597,462
Marney O'Breen,Australia,Manuka Honey Choco,2023-04-05,14939,238
Kaine Padly,Canada,Manuka Honey Choco,2023-01-18,10846,146
Jehu Rudeforth,UK,Baker's Choco Chips,2023-05-16,2833,104
Kelci Walkden,Australia,White Choc,2023-08-24,8880,177
Curtice Advani,India,85% Dark Bars,2023-01-18,298,399
Kaine Padly,USA,Eclairs,2023-08-22,7800,10
Gunar Cockshoot,UK,99% Dark & Pure,2023-03-07,8,85
Beverie Moffet,UK,Choco Coated Almonds,2023-03-04,3212,66
Dotty Strutley,Canada,Manuka Honey Choco,2023-04-22,12049,113
Kaine Padly,Australia,Milk Bars,2023-06-09,4500,91
Jan Morforth,Canada,Fruit & Nut Bars,2023-07-25,9984,207
Jan Morforth,India,Smooth Sliky Salty,2023-08-03,11868,95
Rafaelita Blaksland,Australia,Manuka Honey Choco,2023-08-03,4807,132
Jehu Rudeforth,UK,Milk Bars,2023-05-03,13421,232
Husein Augar,Canada,After Nines,2023-01-19,10408,301
Roddy Speechley,USA,50% Dark Bites,2023-02-11,10849,330
Van Tuxwell,India,Almond Choco,2023-06-14,7247,402
Kelci Walkden,USA,50% Dark Bites,2023-03-23,6388,227
Madelene Upcott,Canada,85% Dark Bars,2023-02-17,8373,108
Dennison Crosswaite,Canada,Smooth Sliky Salty,2023-03-17,1887,488
Mallorie Waber,Australia,Spicy Special Slims,2023-06-29,6054,287
Ches Bonnell,Canada,Choco Coated Almonds,2023-08-24,16255,268
Gigi Bohling,Canada,Spicy Special Slims,2023-07-04,13174,301
Roddy Speechley,New Zealand,Almond Choco,2023-03-28,2721,72
Curtice Advani,India,Smooth Sliky Salty,2023-04-19,19284,139
Ches Bonnell,New Zealand,Mint Chip Choco,2023-01-18,9328,232
Van Tuxwell,New Zealand,Fruit & Nut Bars,2023-01-17,3184,85
Andria Kimpton,New Zealand,Mint Chip Choco,2023-02-15,9739,209
Andria Kimpton,UK,Milk Bars,2023-02-11,16487,314
Camilla Castle,USA,Manuka Honey Choco,2023-03-21,16792,184
Gunar Cockshoot,New Zealand,Almond Choco,2023-01-05,5753,125
Brien Boise,India,Raspberry Choco,2023-05-30,6833,157
Jehu Rudeforth,USA,99% Dark & Pure,2023-01-04,2816,222
Beverie Moffet,Australia,Fruit & Nut Bars,2023-04-22,1545,269
Gigi Bohling,Canada,Milk Bars,2023-02-10,3433,120
Dotty Strutley,India,Spicy Special Slims,2023-08-12,1002,217
Gunar Cockshoot,USA,Organic Choco Syrup,2023-08-10,2494,315
Kelci Walkden,Australia,Raspberry Choco,2023-06-07,770,61
Jehu Rudeforth,India,Baker's Choco Chips,2023-06-06,2262,73
Karlen McCaffrey,New Zealand,Baker's Choco Chips,2023-04-05,5668,204
Wilone O'Kielt,USA,50% Dark Bites,2023-04-18,4739,125
Andria Kimpton,India,50% Dark Bites,2023-01-31,13662,15
Madelene Upcott,USA,Baker's Choco Chips,2023-08-22,6067,151
Jehu Rudeforth,Australia,99% Dark & Pure,2023-02-25,11721,204
Jan Morforth,Australia,Mint Chip Choco,2023-02-22,20000,106
Oby Sorrel,New Zealand,Milk Bars,2023-01-12,4484,201
Brien Boise,UK,Almond Choco,2023-05-25,107,129
Kelci Walkden,India,Smooth Sliky Salty,2023-02-01,2526,8
Rafaelita Blaksland,UK,Eclairs,2023-04-27,1578,67
Gigi Bohling,USA,Smooth Sliky Salty,2023-07-22,2972,129
Curtice Advani,New Zealand,Mint Chip Choco,2023-01-26,3692,284
Curtice Advani,USA,Mint Chip Choco,2023-08-24,5189,293
Madelene Upcott,New Zealand,Fruit & Nut Bars,2023-01-18,5767,21
Karlen McCaffrey,India,85% Dark Bars,2023-03-30,1037,82
Ches Bonnell,Australia,Caramel Stuffed Bars,2023-01-17,10034,163
Kelci Walkden,USA,Fruit & Nut Bars,2023-02-17,5221,154
Kelci Walkden,Canada,Peanut Butter Cubes,2023-04-08,8107,47
Gigi Bohling,Canada,Drinking Coco,2023-07-06,3934,86
Husein Augar,India,Fruit & Nut Bars,2023-04-04,4509,231
Jan Morforth,New Zealand,Organic Choco Syrup,2023-03-02,1922,226
Gigi Bohling,New Zealand,Raspberry Choco,2023-08-09,1161,181
Dennison Crosswaite,Australia,Milk Bars,2023-06-09,11389,282
Ches Bonnell,UK,Caramel Stuffed Bars,2023-06-02,3032,313
Van Tuxwell,USA,Fruit & Nut Bars,2023-07-05,6872,238
Andria Kimpton,Canada,Eclairs,2023-08-11,340,124
Madelene Upcott,India,Choco Coated Almonds,2023-02-11,3720,141
Kelci Walkden,New Zealand,Spicy Special Slims,2023-08-11,731,69
Roddy Speechley,Australia,Drinking Coco,2023-05-12,13289,112
Wilone O'Kielt,USA,Milk Bars,2023-07-15,5333,101
Andria Kimpton,India,Organic Choco Syrup,2023-01-18,3972,131
Madelene Upcott,UK,Fruit & Nut Bars,2023-01-05,9538,198
Curtice Advani,Australia,50% Dark Bites,2023-06-29,548,221
Brien Boise,Canada,Raspberry Choco,2023-06-14,2995,47
Gunar Cockshoot,India,Mint Chip Choco,2023-08-08,4451,71
Dennison Crosswaite,India,Mint Chip Choco,2023-03-23,14692,143
Barr Faughny,India,Caramel Stuffed Bars,2023-01-04,7043,107
Brien Boise,India,Milk Bars,2023-02-22,15583,248
Beverie Moffet,UK,Spicy Special Slims,2023-02-17,9060,268
Barr Faughny,USA,Almond Choco,2023-02-03,431,85
Van Tuxwell,Canada,Raspberry Choco,2023-03-17,1264,137
Wilone O'Kielt,Australia,Baker's Choco Chips,2023-01-25,2995,156
Brien Boise,Australia,Milk Bars,2023-07-27,2118,56
Husein Augar,Australia,Fruit & Nut Bars,2023-01-28,8082,54
Madelene Upcott,Australia,Organic Choco Syrup,2023-07-05,11543,49
Van Tuxwell,India,White Choc,2023-03-15,2184,46
Gunar Cockshoot,Canada,After Nines,2023-08-04,3125,191
Jan Morforth,USA,Fruit & Nut Bars,2023-06-27,4892,380
Jan Morforth,Canada,After Nines,2023-07-13,4881,183
Barr Faughny,New Zealand,Manuka Honey Choco,2023-02-24,5918,238
Karlen McCaffrey,New Zealand,85% Dark Bars,2023-06-28,6313,60
Oby Sorrel,Australia,85% Dark Bars,2023-06-30,7956,27
Curtice Advani,Canada,Choco Coated Almonds,2023-08-18,5896,7
Kaine Padly,India,70% Dark Bites,2023-01-24,13536,296
Beverie Moffet,USA,White Choc,2023-03-11,5640,129
Ches Bonnell,New Zealand,After Nines,2023-06-23,5813,356
Husein Augar,India,Spicy Special Slims,2023-08-22,2515,32
Gunar Cockshoot,Canada,50% Dark Bites,2023-01-04,3044,22
Curtice Advani,India,Milk Bars,2023-04-05,3902,214
Beverie Moffet,India,Milk Bars,2023-04-15,1929,354
Husein Augar,Australia,White Choc,2023-05-11,3252,241
Andria Kimpton,Canada,Manuka Honey Choco,2023-07-21,5032,495
Jan Morforth,New Zealand,Orange Choco,2023-02-11,1350,89
Andria Kimpton,Canada,Smooth Sliky Salty,2023-07-08,1188,75
Gunar Cockshoot,UK,Raspberry Choco,2023-08-11,7055,334
Husein Augar,New Zealand,After Nines,2023-08-04,7232,8
Andria Kimpton,New Zealand,Orange Choco,2023-06-14,9296,93
Dennison Crosswaite,UK,Baker's Choco Chips,2023-01-17,2277,296
Jehu Rudeforth,Canada,Orange Choco,2023-06-23,4230,548
Jehu Rudeforth,UK,Smooth Sliky Salty,2023-08-24,1641,119
Andria Kimpton,UK,Caramel Stuffed Bars,2023-06-07,8235,294
Jan Morforth,UK,White Choc,2023-06-22,10087,46
Dotty Strutley,USA,Fruit & Nut Bars,2023-07-13,3169,281
Kelci Walkden,UK,Choco Coated Almonds,2023-05-24,10355,215
Gunar Cockshoot,New Zealand,After Nines,2023-08-09,7773,140
Kaine Padly,Canada,85% Dark Bars,2023-04-06,1993,31
Jan Morforth,New Zealand,Manuka Honey Choco,2023-07-28,1816,266
Gunar Cockshoot,New Zealand,Raspberry Choco,2023-08-24,727,50
Van Tuxwell,Australia,99% Dark & Pure,2023-01-17,115,132
Curtice Advani,USA,Drinking Coco,2023-02-07,5378,142
Brien Boise,Australia,Spicy Special Slims,2023-05-09,6708,269
Mallorie Waber,New Zealand,85% Dark Bars,2023-06-06,8167,102
Wilone O'Kielt,USA,Choco Coated Almonds,2023-06-06,9950,6
Beverie Moffet,New Zealand,Organic Choco Syrup,2023-05-24,7229,215
Gunar Cockshoot,UK,50% Dark Bites,2023-01-13,2260,128
Marney O'Breen,USA,Raspberry Choco,2023-05-23,6207,149
Jehu Rudeforth,UK,White Choc,2023-06-29,1890,286
Jehu Rudeforth,New Zealand,85% Dark Bars,2023-03-11,7797,88
Dotty Strutley,USA,85% Dark Bars,2023-04-25,11645,536
Rafaelita Blaksland,Australia,Smooth Sliky Salty,2023-05-30,4207,255
Curtice Advani,India,Manuka Honey Choco,2023-05-23,1684,169
Mallorie Waber,USA,Peanut Butter Cubes,2023-05-23,1337,18
Van Tuxwell,Canada,Peanut Butter Cubes,2023-06-24,7147,300
Kelci Walkden,New Zealand,Smooth Sliky Salty,2023-03-11,12030,296
Rafaelita Blaksland,USA,Smooth Sliky Salty,2023-07-27,15845,232
Rafaelita Blaksland,USA,White Choc,2023-08-16,5026,133
Roddy Speechley,Canada,Smooth Sliky Salty,2023-03-07,9902,12
Curtice Advani,New Zealand,After Nines,2023-04-05,7944,33
Camilla Castle,India,85% Dark Bars,2023-05-04,9524,55
Ches Bonnell,USA,Choco Coated Almonds,2023-01-04,16241,93
Marney O'Breen,Australia,Baker's Choco Chips,2023-01-13,5892,109
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,2023-07-11,6925,94
Kaine Padly,Australia,Mint Chip Choco,2023-05-17,4553,158
Camilla Castle,New Zealand,Peanut Butter Cubes,2023-07-21,1725,60
Curtice Advani,Canada,Organic Choco Syrup,2023-02-22,897,21
Jan Morforth,India,99% Dark & Pure,2023-05-23,10284,178
Rafaelita Blaksland,Canada,Drinking Coco,2023-07-12,10416,200
Jan Morforth,UK,Orange Choco,2023-06-15,4221,193
Barr Faughny,New Zealand,50% Dark Bites,2023-06-23,4910,304
Curtice Advani,Australia,Eclairs,2023-03-25,6550,53
Jan Morforth,India,Caramel Stuffed Bars,2023-07-04,89,165
Andria Kimpton,UK,White Choc,2023-05-12,9793,110
Camilla Castle,New Zealand,Raspberry Choco,2023-04-04,4824,143
Madelene Upcott,Australia,Orange Choco,2023-04-15,7557,404
Roddy Speechley,Canada,Eclairs,2023-03-08,7082,95
Karlen McCaffrey,India,White Choc,2023-01-17,8361,231
Wilone O'Kielt,India,Mint Chip Choco,2023-08-22,1311,52
Andria Kimpton,UK,99% Dark & Pure,2023-07-25,1288,67
Marney O'Breen,UK,50% Dark Bites,2023-06-14,3288,133
Ches Bonnell,India,Choco Coated Almonds,2023-04-05,10669,85
Madelene Upcott,UK,Raspberry Choco,2023-08-26,7362,344
Wilone O'Kielt,Australia,50% Dark Bites,2023-08-03,10336,123
Gigi Bohling,Canada,White Choc,2023-07-11,6986,4
Wilone O'Kielt,New Zealand,Eclairs,2023-03-11,3394,21
Brien Boise,UK,Peanut Butter Cubes,2023-01-10,15337,31
Roddy Speechley,UK,Baker's Choco Chips,2023-04-04,15925,378
Karlen McCaffrey,Australia,50% Dark Bites,2023-01-17,7356,772
Marney O'Breen,New Zealand,Organic Choco Syrup,2023-07-08,9489,54
Jan Morforth,UK,Organic Choco Syrup,2023-04-12,1281,354
Rafaelita Blaksland,Canada,Fruit & Nut Bars,2023-08-24,518,192
Ches Bonnell,UK,Choco Coated Almonds,2023-06-07,1934,239
Gunar Cockshoot,Canada,Almond Choco,2023-07-28,1309,30
Husein Augar,USA,99% Dark & Pure,2023-02-21,9879,111
Dennison Crosswaite,Canada,Mint Chip Choco,2023-04-08,1944,297
Brien Boise,UK,Manuka Honey Choco,2023-06-28,81,103
Van Tuxwell,UK,Baker's Choco Chips,2023-03-24,2678,20
Barr Faughny,Australia,Caramel Stuffed Bars,2023-07-29,2931,60
Dennison Crosswaite,USA,Eclairs,2023-05-25,2316,90
Gigi Bohling,Australia,Raspberry Choco,2023-03-30,6722,330
Dennison Crosswaite,USA,Organic Choco Syrup,2023-07-18,14529,134
Beverie Moffet,Canada,Orange Choco,2023-05-10,9390,104
Mallorie Waber,Australia,Choco Coated Almonds,2023-03-18,16230,94
Ches Bonnell,India,Caramel Stuffed Bars,2023-06-15,7224,55
Van Tuxwell,Canada,50% Dark Bites,2023-05-12,15568,57
Kelci Walkden,New Zealand,Baker's Choco Chips,2023-06-23,2964,105
Beverie Moffet,India,Spicy Special Slims,2023-04-21,3357,186
Gigi Bohling,Australia,Almond Choco,2023-08-17,1010,127
Rafaelita Blaksland,New Zealand,Eclairs,2023-02-07,20470,54
Kelci Walkden,Canada,Smooth Sliky Salty,2023-03-17,8763,115
Jan Morforth,India,Baker's Choco Chips,2023-08-01,14614,85
Jehu Rudeforth,Australia,Milk Bars,2023-03-18,9839,31
Gigi Bohling,Canada,Fruit & Nut Bars,2023-06-14,6633,103
Beverie Moffet,UK,Eclairs,2023-04-22,9749,169
Marney O'Breen,New Zealand,Eclairs,2023-01-18,5254,31
Husein Augar,Australia,99% Dark & Pure,2023-08-26,3430,123
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,2023-06-10,10455,434
Curtice Advani,Canada,70% Dark Bites,2023-01-31,2414,7
Kelci Walkden,New Zealand,Manuka Honey Choco,2023-04-08,1445,108
Dotty Strutley,Australia,Baker's Choco Chips,2023-06-07,4023,71
Barr Faughny,Australia,85% Dark Bars,2023-02-10,8651,43
Beverie Moffet,Australia,50% Dark Bites,2023-05-16,725,453
Gunar Cockshoot,India,Baker's Choco Chips,2023-03-18,2385,540
Van Tuxwell,Australia,50% Dark Bites,2023-07-13,726,131
Oby Sorrel,USA,Manuka Honey Choco,2023-07-25,4742,83
Van Tuxwell,Canada,Choco Coated Almonds,2023-08-19,2557,312
Karlen McCaffrey,Canada,70% Dark Bites,2023-06-24,8377,646
Kelci Walkden,Canada,Fruit & Nut Bars,2023-06-20,841,162
Camilla Castle,India,99% Dark & Pure,2023-08-02,208,216
Madelene Upcott,New Zealand,70% Dark Bites,2023-02-22,13370,94
Mallorie Waber,New Zealand,Orange Choco,2023-02-01,6811,25
Jan Morforth,Canada,70% Dark Bites,2023-02-14,6097,300
Kelci Walkden,Australia,Milk Bars,2023-02-24,8685,120
Dennison Crosswaite,India,Orange Choco,2023-03-18,873,140
Husein Augar,UK,Eclairs,2023-08-30,1913,253
Gigi Bohling,USA,Peanut Butter Cubes,2023-05-09,322,76
Wilone O'Kielt,USA,Smooth Sliky Salty,2023-01-18,511,96
Curtice Advani,India,White Choc,2023-07-04,7887,335
Oby Sorrel,New Zealand,Spicy Special Slims,2023-06-03,1794,13
Beverie Moffet,New Zealand,Peanut Butter Cubes,2023-02-23,12129,29
Dotty Strutley,New Zealand,99% Dark & Pure,2023-05-09,11750,213
Kelci Walkden,India,70% Dark Bites,2023-06-06,3967,101
Kelci Walkden,India,Drinking Coco,2023-07-04,8105,255
Brien Boise,New Zealand,Drinking Coco,2023-06-06,1614,106
Dotty Strutley,Australia,Almond Choco,2023-05-13,1613,91
Wilone O'Kielt,New Zealand,Organic Choco Syrup,2023-01-31,2156,281
Ches Bonnell,New Zealand,Caramel Stuffed Bars,2023-06-30,8184,43
Barr Faughny,Canada,Manuka Honey Choco,2023-08-25,3613,251
Gigi Bohling,New Zealand,Smooth Sliky Salty,2023-01-10,801,101
Brien Boise,USA,Manuka Honey Choco,2023-08-22,2069,8
Roddy Speechley,New Zealand,85% Dark Bars,2023-04-14,5096,284
Oby Sorrel,UK,Smooth Sliky Salty,2023-05-31,10574,338
Oby Sorrel,UK,Raspberry Choco,2023-04-08,4611,322
Roddy Speechley,USA,Drinking Coco,2023-02-21,3289,148
Andria Kimpton,Australia,Manuka Honey Choco,2023-03-30,10883,394
Mallorie Waber,India,Raspberry Choco,2023-03-02,1517,2
Jehu Rudeforth,USA,Orange Choco,2023-07-28,391,184
Kaine Padly,New Zealand,70% Dark Bites,2023-03-24,7969,38
Curtice Advani,Australia,After Nines,2023-08-11,64,109
Husein Augar,UK,Almond Choco,2023-05-17,8832,175
Kaine Padly,Canada,Choco Coated Almonds,2023-05-18,3542,180
Roddy Speechley,UK,Peanut Butter Cubes,2023-08-17,6052,173
Ches Bonnell,New Zealand,Eclairs,2023-04-04,543,54
Brien Boise,India,85% Dark Bars,2023-08-09,18895,201
Brien Boise,New Zealand,Organic Choco Syrup,2023-01-17,689,331
Andria Kimpton,Canada,White Choc,2023-02-14,4436,31
Gigi Bohling,New Zealand,Orange Choco,2023-05-16,9111,324
Ches Bonnell,Canada,Smooth Sliky Salty,2023-03-16,10370,129
Husein Augar,Canada,70% Dark Bites,2023-01-31,5833,290
Barr Faughny,Canada,Organic Choco Syrup,2023-03-10,1230,219
Oby Sorrel,UK,Organic Choco Syrup,2023-06-30,8840,170
Van Tuxwell,New Zealand,Eclairs,2023-03-01,5748,176
Mallorie Waber,UK,Drinking Coco,2023-05-27,3666,107
Oby Sorrel,UK,Milk Bars,2023-07-11,6854,220
Karlen McCaffrey,New Zealand,Mint Chip Choco,2023-03-02,4361,59
Jehu Rudeforth,USA,Raspberry Choco,2023-03-04,7686,141
Kelci Walkden,UK,85% Dark Bars,2023-06-23,4188,235
Kelci Walkden,USA,Almond Choco,2023-01-27,5425,234
Marney O'Breen,Canada,Orange Choco,2023-01-14,2897,456
Dennison Crosswaite,India,Fruit & Nut Bars,2023-07-29,1071,23
Brien Boise,Canada,Smooth Sliky Salty,2023-05-13,6417,497
Barr Faughny,Canada,Baker's Choco Chips,2023-02-03,10967,172
Brien Boise,India,Smooth Sliky Salty,2023-05-27,6345,28
Jan Morforth,Australia,Drinking Coco,2023-02-18,2825,25
Brien Boise,India,Spicy Special Slims,2023-01-28,1464,34
Van Tuxwell,UK,Eclairs,2023-06-29,5857,115
Wilone O'Kielt,India,Caramel Stuffed Bars,2023-01-13,4304,282
Jehu Rudeforth,UK,After Nines,2023-06-27,2048,169
Barr Faughny,Canada,White Choc,2023-03-29,4692,1
Gunar Cockshoot,India,Organic Choco Syrup,2023-06-03,7302,153
Mallorie Waber,Canada,Smooth Sliky Salty,2023-03-21,2057,103
Mallorie Waber,India,Eclairs,2023-04-12,11033,49
Rafaelita Blaksland,Australia,Raspberry Choco,2023-01-19,7774,247
Karlen McCaffrey,UK,50% Dark Bites,2023-04-06,3843,295
Kaine Padly,Australia,50% Dark Bites,2023-08-02,9164,81
Gigi Bohling,Australia,Eclairs,2023-04-12,7629,146
Oby Sorrel,India,Drinking Coco,2023-07-21,18221,139
Van Tuxwell,New Zealand,Baker's Choco Chips,2023-03-22,9829,24
Husein Augar,India,Peanut Butter Cubes,2023-05-09,4727,5
Andria Kimpton,Australia,Baker's Choco Chips,2023-08-09,345,118
Madelene Upcott,Canada,Choco Coated Almonds,2023-07-20,3451,283
Brien Boise,India,70% Dark Bites,2023-04-14,5071,439
Jehu Rudeforth,Canada,White Choc,2023-01-25,4719,132
Andria Kimpton,Australia,Almond Choco,2023-04-25,3431,174
Dotty Strutley,Canada,After Nines,2023-01-17,268,239
Karlen McCaffrey,USA,Eclairs,2023-08-15,991,133
Karlen McCaffrey,Canada,Fruit & Nut Bars,2023-06-02,213,17
Gunar Cockshoot,USA,85% Dark Bars,2023-06-30,7586,131
Dotty Strutley,New Zealand,Raspberry Choco,2023-02-10,6192,99
Marney O'Breen,Canada,Caramel Stuffed Bars,2023-02-23,1511,602
Dennison Crosswaite,India,Organic Choco Syrup,2023-01-27,8693,209
Camilla Castle,UK,Mint Chip Choco,2023-05-26,5510,307
Brien Boise,USA,70% Dark Bites,2023-04-14,1863,22
Madelene Upcott,Australia,99% Dark & Pure,2023-08-01,4823,159
Mallorie Waber,Australia,Eclairs,2023-08-22,10857,229
Marney O'Breen,India,99% Dark & Pure,2023-07-22,11252,159
Husein Augar,USA,Fruit & Nut Bars,2023-04-28,1388,27
Kelci Walkden,Australia,Almond Choco,2023-05-30,5509,341
Ches Bonnell,USA,Milk Bars,2023-07-21,2444,155
Jan Morforth,UK,Caramel Stuffed Bars,2023-08-02,3176,507
Brien Boise,New Zealand,70% Dark Bites,2023-06-15,7900,143
Oby Sorrel,India,85% Dark Bars,2023-07-05,9072,142
Kaine Padly,New Zealand,Smooth Sliky Salty,2023-04-12,8,513
Gigi Bohling,Australia,70% Dark Bites,2023-08-18,1549,104
Jan Morforth,UK,50% Dark Bites,2023-01-12,5502,298
Gunar Cockshoot,Canada,White Choc,2023-08-11,7685,15
Jehu Rudeforth,Australia,Spicy Special Slims,2023-01-13,5148,402
Husein Augar,UK,Baker's Choco Chips,2023-04-29,3070,143
Rafaelita Blaksland,New Zealand,After Nines,2023-07-07,1128,88
Madelene Upcott,New Zealand,Mint Chip Choco,2023-03-11,8503,4
Madelene Upcott,UK,70% Dark Bites,2023-02-16,5961,241
Barr Faughny,Australia,Organic Choco Syrup,2023-01-07,2478,33
Beverie Moffet,New Zealand,Drinking Coco,2023-01-12,1270,497
Beverie Moffet,India,Eclairs,2023-06-09,11131,144
Andria Kimpton,India,Eclairs,2023-05-16,2455,83
Gigi Bohling,UK,85% Dark Bars,2023-06-23,12765,100
Roddy Speechley,UK,Raspberry Choco,2023-01-28,13351,198
Dotty Strutley,UK,Mint Chip Choco,2023-07-14,2763,223
Barr Faughny,Canada,Drinking Coco,2023-04-18,6523,245
Oby Sorrel,USA,Milk Bars,2023-06-14,1868,82
Oby Sorrel,UK,Orange Choco,2023-04-15,8432,251
Curtice Advani,Canada,Peanut Butter Cubes,2023-05-19,5647,64
Gigi Bohling,India,White Choc,2023-04-13,1485,180
Husein Augar,Canada,Choco Coated Almonds,2023-08-15,3860,395
Wilone O'Kielt,India,Choco Coated Almonds,2023-08-22,3237,227
Wilone O'Kielt,New Zealand,Baker's Choco Chips,2023-04-22,4072,64
Kaine Padly,UK,Choco Coated Almonds,2023-08-03,8055,118
Dennison Crosswaite,New Zealand,Organic Choco Syrup,2023-01-04,420,224
Kelci Walkden,Canada,After Nines,2023-01-13,17074,218
Van Tuxwell,Australia,Baker's Choco Chips,2023-05-11,13624,33
Husein Augar,New Zealand,Peanut Butter Cubes,2023-02-16,2318,235
Kaine Padly,UK,Caramel Stuffed Bars,2023-05-20,10740,67
Jehu Rudeforth,UK,Drinking Coco,2023-02-03,7625,422
Beverie Moffet,India,Manuka Honey Choco,2023-05-06,10168,159
Gunar Cockshoot,UK,Choco Coated Almonds,2023-06-30,6635,141
Gunar Cockshoot,UK,Smooth Sliky Salty,2023-03-22,860,158
Camilla Castle,Canada,Orange Choco,2023-02-17,8671,52
Jehu Rudeforth,UK,85% Dark Bars,2023-07-07,5534,63
Oby Sorrel,UK,70% Dark Bites,2023-03-16,6800,187
Kelci Walkden,UK,99% Dark & Pure,2023-08-12,3928,123
Gigi Bohling,New Zealand,After Nines,2023-01-21,5834,196
Oby Sorrel,Australia,50% Dark Bites,2023-05-06,733,147
Oby Sorrel,Canada,50% Dark Bites,2023-06-24,7165,140
Barr Faughny,USA,White Choc,2023-05-05,7901,175
Rafaelita Blaksland,New Zealand,99% Dark & Pure,2023-03-25,3551,85
Curtice Advani,Australia,Caramel Stuffed Bars,2023-02-14,10282,136
Curtice Advani,New Zealand,85% Dark Bars,2023-05-12,5937,180
Barr Faughny,New Zealand,Smooth Sliky Salty,2023-01-25,4552,172
Ches Bonnell,UK,85% Dark Bars,2023-06-28,15945,11
Dennison Crosswaite,Australia,Drinking Coco,2023-07-13,7723,188
Roddy Speechley,USA,Milk Bars,2023-05-16,3105,268
Jan Morforth,India,After Nines,2023-03-14,6994,179
Gunar Cockshoot,USA,After Nines,2023-08-15,4264,252
Ches Bonnell,India,Orange Choco,2023-02-16,1215,271
Mallorie Waber,UK,Manuka Honey Choco,2023-06-15,8519,45
Barr Faughny,Australia,Raspberry Choco,2023-05-27,9811,105
Wilone O'Kielt,USA,Drinking Coco,2023-06-14,1066,107
Wilone O'Kielt,India,Eclairs,2023-02-25,3895,80
Wilone O'Kielt,India,After Nines,2023-08-04,12194,252
Kelci Walkden,India,99% Dark & Pure,2023-06-28,2455,236
Gunar Cockshoot,Canada,Spicy Special Slims,2023-04-05,14888,12
Madelene Upcott,Canada,Peanut Butter Cubes,2023-07-05,15276,121
Kaine Padly,New Zealand,Eclairs,2023-01-20,13520,47
Ches Bonnell,New Zealand,Drinking Coco,2023-02-16,9196,127
Curtice Advani,UK,Drinking Coco,2023-07-12,461,182
Kelci Walkden,India,Raspberry Choco,2023-06-16,8217,257
Dotty Strutley,Australia,Choco Coated Almonds,2023-04-13,1864,277
Kaine Padly,UK,50% Dark Bites,2023-02-21,3283,72
Roddy Speechley,Canada,Choco Coated Almonds,2023-05-11,5967,247
Ches Bonnell,India,50% Dark Bites,2023-04-15,12084,334
Oby Sorrel,Canada,Peanut Butter Cubes,2023-06-07,12397,179
Oby Sorrel,UK,White Choc,2023-06-27,1746,280
Barr Faughny,India,After Nines,2023-07-29,9022,104
Wilone O'Kielt,Canada,Smooth Sliky Salty,2023-06-02,5263,165
Rafaelita Blaksland,India,Mint Chip Choco,2023-01-26,15473,91
Rafaelita Blaksland,Canada,99% Dark & Pure,2023-03-02,5567,140
Van Tuxwell,Australia,70% Dark Bites,2023-01-10,8111,111
Beverie Moffet,USA,70% Dark Bites,2023-06-27,2342,117
Barr Faughny,Canada,Orange Choco,2023-06-30,8650,19
Roddy Speechley,Australia,85% Dark Bars,2023-07-08,4445,77
Oby Sorrel,India,Spicy Special Slims,2023-06-08,12531,86
Jan Morforth,UK,Manuka Honey Choco,2023-08-18,3559,231
Kaine Padly,Australia,After Nines,2023-04-08,7890,300
Wilone O'Kielt,Canada,Fruit & Nut Bars,2023-08-08,3589,176
Wilone O'Kielt,UK,Milk Bars,2023-08-26,305,62
Oby Sorrel,Canada,Fruit & Nut Bars,2023-01-14,1897,161
Dennison Crosswaite,USA,Baker's Choco Chips,2023-08-11,18495,298
Madelene Upcott,USA,Almond Choco,2023-05-31,11103,24
Van Tuxwell,New Zealand,50% Dark Bites,2023-07-11,4162,11
Karlen McCaffrey,Canada,Caramel Stuffed Bars,2023-03-02,3357,308
Madelene Upcott,Australia,Raspberry Choco,2023-07-13,7034,94
Rafaelita Blaksland,UK,Spicy Special Slims,2023-08-03,9897,143
Curtice Advani,UK,Peanut Butter Cubes,2023-03-01,15653,175
Kelci Walkden,New Zealand,White Choc,2023-04-13,7899,148
Beverie Moffet,Canada,Fruit & Nut Bars,2023-02-14,10645,172
Mallorie Waber,India,White Choc,2023-07-26,873,224
Brien Boise,UK,Drinking Coco,2023-01-27,6338,128
Jehu Rudeforth,India,Peanut Butter Cubes,2023-04-14,31,451
Oby Sorrel,USA,Almond Choco,2023-05-19,7108,142
Husein Augar,India,Eclairs,2023-02-09,5466,56
Brien Boise,UK,Spicy Special Slims,2023-05-25,2462,60
Oby Sorrel,Australia,Manuka Honey Choco,2023-01-26,4194,80
Beverie Moffet,India,White Choc,2023-07-04,1994,299
Ches Bonnell,India,Almond Choco,2023-04-13,12124,80
Gigi Bohling,Australia,Smooth Sliky Salty,2023-01-25,5884,117
Camilla Castle,USA,85% Dark Bars,2023-04-25,2639,80
Camilla Castle,USA,Eclairs,2023-06-10,5031,401
Madelene Upcott,New Zealand,White Choc,2023-08-22,11511,56
Van Tuxwell,India,After Nines,2023-06-27,15022,211
Husein Augar,India,Orange Choco,2023-06-30,4517,40
